idtag;format;type;adresse;periode;delay;slave;tagname;zone;userfield1;userfield2;coef;affichage;libelle0;libelle1;libelleEtendu;astreinte
21;BIT;;42021;C;0;2;Bernard Lechere;TEST571;TEST571;TEST571;1;N;;;;0
22;BIT;;42022;C;0;2;Remi Margeurite;TEST572;TEST572;TEST572;1;N;;;;0
23;BIT;;42023;C;0;2;Christophe Prigent;TEST573;TEST573;TEST573;1;N;;;;0
24;BIT;;42024;C;0;2;Raphaël Besson;TEST574;TEST574;TEST574;1;N;;;;0
25;BIT;;42027;C;0;2;SAP2i 1;TEST575;TEST575;TEST575;1;N;;;;0
26;BIT;;42028;C;0;2;William Deschaseaux;TEST576;TEST576;TEST576;1;N;;;;0
27;BIT;;42029;C;0;2;Simon Payardelle;TEST577;TEST577;TEST577;1;N;;;;0
28;BIT;;42030;C;0;2;Dominique Chevalier;TEST578;TEST578;TEST578;1;N;;;;0
29;BIT;;42031;C;0;2;Christelle Duchesnes;TEST579;TEST579;TEST579;1;N;;;;0
30;BIT;;42032;C;0;2;Nicolas Adam;TEST580;TEST580;TEST580;1;N;;;;0
31;BIT;;42033;C;0;2;Florianne Abadi;TEST581;TEST581;TEST581;1;N;;;;0
32;BIT;;42034;C;0;2;Stagiaire 2;TEST582;TEST582;TEST582;1;N;;;;0
33;BIT;;42035;C;0;2;Invité 1;TEST583;TEST583;TEST583;1;N;;;;0
34;BIT;;42036;C;0;2;Invité 2;TEST584;TEST584;TEST584;1;N;;;;0
35;BIT;;42037;C;0;2;Iveco;TEST585;TEST585;TEST585;1;N;;;;0
36;BIT;;42038;C;0;2;Benjamin Ducret;TEST586;TEST586;TEST586;1;N;;;;0
37;BIT;;42039;C;0;2;Simon Zonca;TEST587;TEST587;TEST587;1;N;;;;0
38;BIT;;42040;C;0;2;SAP2i 2;TEST588;TEST588;TEST588;1;N;;;;0
39;BIT;;42041;C;0;2;SAP2i 3;TEST589;TEST589;TEST589;1;N;;;;0
40;BIT;;42047;C;0;2;Porte garage;TEST590;TEST590;TEST590;1;N;;;;0
41;BIT;;42048;C;0;2;Porte sas;TEST591;TEST591;TEST591;1;N;;;;0
42;BIT;;42049;C;0;2;SAP2i;TEST592;TEST592;TEST592;1;N;;;;0
43;BIT;;42050;C;0;2;Bp sas;TEST593;TEST593;TEST593;1;N;;;;0
44;BIT;;42051;C;0;2;Position portail;TEST594;TEST594;TEST594;1;N;;;;0
45;BIT;;42052;C;0;2;Inter crépusculaire;TEST595;TEST595;TEST595;1;N;;;;0
46;BIT;;42053;C;0;2;Digicode : code 1;TEST596;TEST596;TEST596;1;N;;;;0
47;BIT;;42054;C;0;2;Volumétrique entrée;TEST597;TEST597;TEST597;1;Y;;;;0
48;BIT;;42055;C;0;2;Volumétrique B.E.;TEST598;TEST598;TEST598;1;Y;;;;0
49;BIT;;42056;C;0;2;Volumétrique atelier;TEST599;TEST599;TEST599;1;Y;;;;0
50;BIT;;42057;C;0;2;Digicode : code 2;TEST600;TEST600;TEST600;1;N;;;;0
51;BIT;;42058;C;0;2;Contact porte sectionnelle;TEST601;TEST601;TEST601;1;N;;;;0
52;BIT;;42059;C;0;2;Contact porte atelier;TEST602;TEST602;TEST602;1;N;;;;0
53;BIT;;42060;C;0;2;Bp livraison atelier;TEST603;TEST603;TEST603;1;N;;;;0
54;BIT;;42061;C;0;2;BP livraison SAS entrée;TEST604;TEST604;TEST604;1;N;;;;0
55;BIT;;42062;C;0;2;Incendie;TEST605;TEST605;TEST605;1;N;;;;0
56;BIT;;42063;C;0;2;Reserve;TEST606;TEST606;TEST606;1;N;;;;0
57;BIT;;42064;C;0;2;Reserve;TEST607;TEST607;TEST607;1;N;;;;0
58;BIT;;42065;C;0;2;Reserve;TEST608;TEST608;TEST608;1;N;;;;0
59;BIT;;42066;C;0;2;Variable_Test;TEST609;TEST609;TEST609;1;N;;;;0
60;BIT;;42068;C;0;2;Poubelle;TEST610;TEST610;TEST610;1;N;;;;0
61;BIT;;42075;C;0;2;Porte stagiaires et invité;TEST611;TEST611;TEST611;1;Y;;;;0
62;BIT;;42080;C;0;2;Porte SAS entrée;TEST612;TEST612;TEST612;1;Y;;;;0
63;BIT;;42081;C;0;2;Porte garage;TEST613;TEST613;TEST613;1;Y;;;;0
64;BIT;;42082;C;0;2;Volets et lumière atelier;TEST614;TEST614;TEST614;1;Y;;;;0
65;BIT;;42083;C;0;2;Fermeture portail;TEST615;TEST615;TEST615;1;Y;;;;0
66;BIT;;42084;C;0;2;Eclairage exterieure;TEST616;TEST616;TEST616;1;Y;;;;0
67;BIT;;42085;C;0;2;Sonnette;TEST617;TEST617;TEST617;1;Y;;;;0
68;BIT;;42086;C;0;2;Bit tempo sirène;TEST618;TEST618;TEST618;1;Y;;;;0
69;BIT;;42087;C;0;2;Sirène;TEST619;TEST619;TEST619;1;Y;;;;0
70;BIT;;42100;C;0;2;Ouverture porte;TEST620;TEST620;TEST620;1;Y;;;;0
71;BIT;;42101;C;0;2;Fermeture volets lumiere;TEST621;TEST621;TEST621;1;Y;;;;0
72;BIT;;42102;C;0;2;Eclairage;TEST622;TEST622;TEST622;1;Y;;;;0
73;BIT;;42103;C;0;2;Ouverture_matin;TEST623;TEST623;TEST623;1;Y;;;;0
74;BIT;;42104;C;0;2;Intrusion;TEST624;TEST624;TEST624;1;Y;;;;0
75;BIT;;42150;C;0;2;Présence;TEST625;TEST625;TEST625;1;Y;;;;0
76;BIT;;42151;C;0;2;Site surveillé;TEST626;TEST626;TEST626;1;Y;;;;0
77;BIT;;42152;C;0;2;Demande code;TEST627;TEST627;TEST627;1;Y;;;;0
78;BIT;;42153;C;0;2;Défaut intrusion;TEST628;TEST628;TEST628;1;Y;;;;0
79;DWORD;;42200;P;3600;2;Mot de vie;TEST629;TEST629;TEST629;0.1;Y;;;;0
80;BIT;;42300;C;0;2;Eclairage extérieur;TEST630;TEST630;TEST630;1;Y;;;;0
81;BIT;;42301;C;0;2;Bp livraison entrée;TEST631;TEST631;TEST631;1;Y;;;;0
82;BIT;;42302;C;0;2;Bp livraison atelier;TEST632;TEST632;TEST632;1;Y;;;;0
83;BIT;;42303;C;0;2;Bp sas;TEST633;TEST633;TEST633;1;Y;;;;0
84;BIT;;42304;C;0;2;Sonnette;TEST634;TEST634;TEST634;1;Y;;;;0
85;BIT;;42305;C;0;2;Ouverture porte entrée;TEST635;TEST635;TEST635;1;Y;;;;0
86;BIT;;42306;C;0;2;Ouverture porte atelier;TEST636;TEST636;TEST636;1;Y;;;;0
87;BIT;;42400;C;0;2;Commande man volet;TEST637;TEST637;TEST637;1;Y;;;;0
88;BIT;;42401;C;0;2;Commande man portail;TEST638;TEST638;TEST638;1;Y;;;;0
89;BIT;;42404;C;0;2;Commande man éclairage ext;TEST639;TEST639;TEST639;1;Y;;;;0
90;BIT;;42405;C;0;2;Commande man porte sas entrée;TEST640;TEST640;TEST640;1;Y;;;;0
91;BIT;;42406;C;0;2;Commande man porte atelier;TEST641;TEST641;TEST641;1;Y;;;;0
